id,produit,champ,ce que dit la fiche
belle-gnole-liqueur-framboise-poivre,Belle Gnôle — Liqueur Framboise-Poivre,producteur (partiel),Belle Gnôle / Coquetelers ; liquoristerie bourguignonne non identifiée publiquement
belle-gnole-liqueur-de-sapin,Belle Gnôle — Liqueur de Sapin,cepages (partiel),Bourgeons de sapin cueillis à la main et environ trente plantes aromatiques ; proportions non communiquées
belle-gnole-liqueur-de-sapin,Belle Gnôle — Liqueur de Sapin,bouche (partiel),Profil végétal dominé par le sapin ; détail gustatif supplémentaire non communiqué par la marque
belle-gnole-liqueur-pain-depices,Belle Gnôle — Liqueur Pain d’Épices,cepages (partiel),"Cannelle, clou de girofle, orange, badiane et caramel ; proportions non communiquées"
belle-gnole-liqueur-de-melon,Belle Gnôle — Liqueur de Melon,producteur (partiel),Belle Gnôle / Coquetelers ; liquoristerie bourguignonne non identifiée publiquement
guappo-della-costiera-limoncello,Guappo della Costiera — Limoncello,bouche (partiel),Caractère citronné et sucré ; description détaillée non communiquée par le producteur
distilleria-marzadro-altolago-limone,Distilleria Marzadro — Altolago Limone,alcool,Sans alcool ; titre exact non communiqué par le fabricant
silvio-carta-aspide-spritz,Silvio Carta — Aspide Spritz,cepages (partiel),Apéritif aux agrumes et aux plantes ; recette complète et proportions non communiquées
marcati-amaretto,Marcati — Amaretto,origine (partiel),Italie ; lieu de production exact non confirmé pour cette référence
marcati-amaretto,Marcati — Amaretto,cepages (partiel),Liqueur de type amaretto ; composition et proportions non communiquées pour cette bouteille
marcati-amaretto,Marcati — Amaretto,visuel,Couleur du liquide non vérifiable : bouteille en verre sombre
marcati-amaretto,Marcati — Amaretto,nez,Profil aromatique précis non communiqué par les sources consultées
marcati-amaretto,Marcati — Amaretto,bouche,Profil gustatif précis non communiqué par les sources consultées
toschi-vignola-nocello,Toschi Vignola — Nocello,cepages (partiel),Noix et noisettes ; proportions non communiquées
distilleria-marzadro-la-mia-grappa-uve-rosse,Distilleria Marzadro — La Mia Grappa - Uve Rosse,cepages (partiel),Marcs de raisin Merlot et Marzemino ; proportions non communiquées
distilleria-marzadro-la-mia-grappa-uve-rosse,Distilleria Marzadro — La Mia Grappa - Uve Rosse,millesime,Aucun millésime communiqué
