produit;identifiant;photo retenue;remarque
Ambrée Artisanale;ambree-artisanale;IMG_2935;étiquette illisible, référence du PDF conservée
Blanche Artisanale;blanche-artisanale;IMG_2924;étiquette illisible, référence du PDF conservée
Blanche Bio;blanche-bio;IMG_2926;étiquette illisible, référence du PDF conservée
Blonde Bio;blonde-bio;IMG_2936;étiquette illisible, référence du PDF conservée
Blonde artisanale;blonde-artisanale;IMG_2941;étiquette illisible, référence du PDF conservée
La Petite Midinette - Triple;la-petite-midinette-triple;IMG_2933;étiquette illisible, référence du PDF conservée
La Triple Barriquée;la-triple-barriquee;IMG_2931;étiquette illisible, référence du PDF conservée
Méridional Lager;meridional-lager;IMG_2939;étiquette illisible, référence du PDF conservée
LA CUVÉE DES FADAS;la-cuvee-des-fadas;IMG_2942;étiquette illisible, référence du PDF conservée
LA GORGE FRAÎCHE;la-gorge-fraiche;IMG_2957;étiquette illisible, référence du PDF conservée
Red Grape Ale;red-grape-ale;IMG_3140;étiquette illisible, référence du PDF conservée
Cuvée G Blanc;cuvee-g-blanc;IMG_3145;étiquette illisible, référence du PDF conservée
Cuvée G Rosé;cuvee-g-rose-2025;IMG_3143;étiquette illisible, référence du PDF conservée
Fontanilles Blanc 2025;fontanilles-blanc-2025-2025;IMG_3135;étiquette illisible, référence du PDF conservée
Rouquet’s Sauvignon 2025;rouquets-sauvignon-2025-2025;IMG_3131;étiquette illisible, référence du PDF conservée
À Grands Pas Chardonnay 2025;a-grands-pas-chardonnay-2025-2025;IMG_3120;étiquette illisible, référence du PDF conservée
Fontanilles Rouge 2025;fontanilles-rouge-2025-2025;IMG_3137;étiquette illisible, référence du PDF conservée
MEURSAULT 2023;meursault-2023-2023;IMG_2983;étiquette illisible, référence du PDF conservée
MIEL DE BOURGOGNE;miel-de-bourgogne;IMG_2996;étiquette illisible, référence du PDF conservée
Hacienda Araucano — Clo de Lolol;hacienda-araucano-clo-de-lolol;IMG_3232;étiquette illisible, référence du PDF conservée
Prestige Rosé — Côtes de Provence;prestige-rose-cotes-de-provence;IMG_3220;étiquette illisible, référence du PDF conservée
Bodega Piedra Negra — Chacayes;bodega-piedra-negra-chacayes;IMG_3234;étiquette illisible, référence du PDF conservée
GOOD MOOD BLANC;good-mood-blanc-2025;IMG_3099;étiquette illisible, référence du PDF conservée
GOOD MOOD ROSÉ;good-mood-rose-2025;IMG_3099;étiquette illisible, référence du PDF conservée
GOOD MOOD ROUGE;good-mood-rouge-2025;IMG_3099;étiquette illisible, référence du PDF conservée
Domaine Laffitte Gros & Petit Manseng;domaine-laffitte-gros-petit-manseng-2025;IMG_3081;étiquette illisible, référence du PDF conservée
Les Fumées Blanches Les Calcaires;les-fumees-blanches-les-calcaires-2025;IMG_3086;étiquette illisible, référence du PDF conservée
Domaine de Targuerie Sec 2024;domaine-de-targuerie-sec-2024;IMG_3076;étiquette illisible, référence du PDF conservée
Domaine de Targuerie Rouge 2024;domaine-de-targuerie-rouge-2024;IMG_3074;étiquette illisible, référence du PDF conservée
Mas Janeil 2009;mas-janeil-2009;IMG_3072;étiquette illisible, référence du PDF conservée
GRAND FIDÈLE ORIGINE;grand-fidele-origine;IMG_3055;étiquette illisible, référence du PDF conservée
GRAND FIDÈLE;grand-fidele;IMG_3057;étiquette illisible, référence du PDF conservée
La Grenouille;;IMG_3159;le PDF indiquait IMG_3158, l'étiquette lue dit IMG_3159
Oysterman;;IMG_3157;le PDF indiquait IMG_3156, l'étiquette lue dit IMG_3157
Rouquet’s Viognier 2025;;IMG_3130;le PDF indiquait IMG_3129, l'étiquette lue dit IMG_3130
Fontanilles Rosé 2024;;IMG_3134;le PDF indiquait IMG_3133, l'étiquette lue dit IMG_3134
MARSANNE BARRAL 2025;;IMG_2998;le PDF indiquait IMG_2997, l'étiquette lue dit IMG_2998
SYRAH BARRAL 2024;;IMG_2999;le PDF indiquait IMG_2998, l'étiquette lue dit IMG_2999
La Cuvée des Copains 2022;;IMG_3165;le PDF indiquait IMG_3164, l'étiquette lue dit IMG_3165
Madame de Rayne — Sauternes;;IMG_3231;le PDF indiquait IMG_3230, l'étiquette lue dit IMG_3231
Pradorey — Finca La Mina Reserva;;IMG_3237;le PDF indiquait IMG_3236, l'étiquette lue dit IMG_3237
Château Gruaud Larose;;IMG_3213;le PDF indiquait IMG_3210, l'étiquette lue dit IMG_3213
Château Pichon Baron;;IMG_3215;le PDF indiquait IMG_3208, l'étiquette lue dit IMG_3215
Château Soutard;;IMG_3209;le PDF indiquait IMG_3214, l'étiquette lue dit IMG_3209
Clos Fourtet;;IMG_3217;le PDF indiquait IMG_3206, l'étiquette lue dit IMG_3217
Petite Lily - Château Climens;;IMG_3203;le PDF indiquait IMG_3200, l'étiquette lue dit IMG_3203
Minuty Prestige Rosé;;IMG_3219;le PDF indiquait IMG_3204, l'étiquette lue dit IMG_3219
Château La Guillaumette;;IMG_3202;le PDF indiquait IMG_3218, l'étiquette lue dit IMG_3202
Château de Gardegan;;IMG_3200;le PDF indiquait IMG_3202, l'étiquette lue dit IMG_3200
Persevero - Château La Grâce Fonrazade;;IMG_3207;le PDF indiquait IMG_3216, l'étiquette lue dit IMG_3207
HERMITAGE LES ROUIES 2022;;IMG_3012;le PDF indiquait IMG_3011, l'étiquette lue dit IMG_3012
SABLET 2M 2023;;IMG_3004;le PDF indiquait IMG_3003, l'étiquette lue dit IMG_3004
