etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
aucun;0.00;Ambrée Artisanale;biere;La Gorge Fraîche.;;;;;
aucun;0.00;Blanche Artisanale;biere;La Gorge Fraîche.;;;;"La Gorge Fraîche - Blanche - ""Blanche"" 33Cl";3.50
sur;1.00;Blanche Bio;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Blanche - ""Blanche"" 33Cl";3.50;"Domaine De Pierre Blanche - Rouge - IGP Syrah ""Barral"" 75Cl";13.50
doute;1.00;Blonde Bio;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Blonde - ""Blonde BIO"" 33Cl";3.50;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80
doute;0.73;Blonde artisanale;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Blonde - ""Blonde Cassique"" 33Cl";3.50;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80
aucun;0.00;Blonde infusée aux herbes & épices;biere;Collaboration Maison Noilly Prat.;;;;;
aucun;0.00;Hiver - au sirop d’érable pur;biere;La Gorge Fraîche.;;;;"La Gorge Fraîche - Speciale Noel - ""Hiver"" 33Cl";3.80
aucun;0.00;LA CUVÉE DES FADAS;biere;LA CUVÉE DES FADAS.;;;;;
doute;1.00;LA GORGE FRAÎCHE;biere;LA GORGE FRAÎCHE.;;"La Gorge Fraîche - Ambre - ""Ambré"" 33Cl";3.50;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80
doute;1.00;LA PETITE MIDINETTE;biere;LA PETITE MIDINETTE.;;"La Gorge Fraîche - Triple - ""La Petite Midinette"" 33Cl";3.50;"La Gorge Fraîche - Triple - ""La Petite Midinette"" 75Cl";8.00
doute;0.50;La Barriquade Lactique;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Blonde - ""La Barriquade Lager"" 33Cl";3.80;"La Gorge Fraîche - Blonde - ""La Triple Barriquade"" 33Cl";3.80
aucun;0.00;La Blonde qui a tout sauf l’alcool;biere;La Gorge Fraîche.;;;;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80
doute;1.00;La Petite Midinette - Triple;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Triple - ""La Petite Midinette"" 75Cl";8.00;"La Gorge Fraîche - Triple - ""La Petite Midinette"" 33Cl";3.50
aucun;0.00;La Tramontane;biere;Bière vieillie en fût de whisky.;;;;;
aucun;0.00;La Triple Barriquée;biere;La Gorge Fraîche.;;;;"La Gorge Fraîche - Blonde - ""La Triple Barriquade"" 33Cl";3.80
aucun;0.00;Loulou - Bière Blonde Artisanale;biere;Bière de Montpellier / brassée à Béziers.;;;;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80
doute;0.48;Méridional Lager;biere;La Gorge Fraîche.;;"La Gorge Fraîche - Blonde - ""Lager"" 33Cl";3.80;"La Gorge Fraîche - Blonde - ""La Barriquade Lager"" 33Cl";3.80
